date,prices $,from_country,to_country,departure_date,return_date,website
2023-10-22,40.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-23,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-25,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-27,46.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-28,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-29,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-30,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-01,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-02,32.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-03,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-04,50.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-05,35.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-06,32.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-07,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-08,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-09,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-10,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-11,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-12,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-13,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-14,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-15,70.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-16,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
