date,prices $,from_country,to_country,departure_date,return_date,website
2023-10-13,43.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-15,43.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-16,43.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-17,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-18,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-19,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-20,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-22,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-23,11.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-24,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-25,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-26,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-27,22.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-29,11.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-30,22.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-31,22.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-01,22.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-02,22.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-03,11.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-04,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-05,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-06,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-07,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-08,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-09,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-10,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-11,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-12,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-13,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-14,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-15,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-16,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
