date,prices $,from_country,to_country,departure_date,return_date,website
2023-11-02,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-03,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-04,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-05,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-07,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-08,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-09,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-10,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-11,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-12,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-14,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-15,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-16,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
