date,prices $,from_country,to_country,departure_date,return_date,website
2023-10-20,24.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-21,24.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-22,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-25,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-27,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-28,24.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-29,24.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-30,24.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-01,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-02,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-03,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-04,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-05,24.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-06,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-07,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-08,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-09,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-10,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-11,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-12,24.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-13,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-14,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-15,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-11-16,14.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
