date,prices $,from_country,to_country,departure_date,return_date
2023-11-11,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-12,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-13,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-14,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-15,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-16,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-17,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-18,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-19,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-20,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-21,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-22,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-23,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-24,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-25,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-26,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-27,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-28,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-29,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-30,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-01,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-02,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-03,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-04,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-05,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-06,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-07,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-08,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-09,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-10,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-11,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-12,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-13,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-14,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-15,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-16,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-17,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-18,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-19,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-20,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-21,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-22,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-23,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-24,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-25,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-26,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-27,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-28,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-29,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-30,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-12-31,35.0,AQP,LIM,2023-07-20,2023-07-23
2024-01-01,40.0,AQP,LIM,2023-07-20,2023-07-23
